address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
7327 33RD Ave NE,SEATTLE,WA,98115,800000,960.0,2.0,1.0,222,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/7327-33RD-Ave-NE-Seattle-WA-98115/48857503_zpid/
6537 Oswego Pl NE,Seattle,WA,98115,2400000,5290.0,0.0,6.0,74,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6537-Oswego-Pl-NE-Seattle-WA-98115/2108951146_zpid/
7400 Latona Ave NE,SEATTLE,WA,98115,1250000,2010.0,3.0,3.0,440,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/7400-Latona-Ave-NE-Seattle-WA-98115/49140704_zpid/
2720 NE 98TH St,SEATTLE,WA,98115,1200000,2689.0,4.0,3.0,231,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/2720-NE-98TH-St-Seattle-WA-98115/48744158_zpid/
NE 98th St,Seattle,WA,98115,NA,920.0,4.0,1.0,442,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434465_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NE 88th St,Seattle,WA,98115,NA,2200.0,3.0,2.0,581,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434431_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NE 93rd St,Seattle,WA,98115,NA,1180.0,3.0,1.0,678,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434422_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Sand Point Way NE,SEATTLE,WA,98115,NA,960.0,3.0,2.0,33,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/239989667_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
28TH Ave NE,SEATTLE,WA,98115,NA,2250.0,5.0,2.0,22,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/245123426_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
27th Ave NE,Seattle,WA,98115,NA,980.0,3.0,1.0,216,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/240369513_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
21st Ave NE,Seattle,WA,98115,NA,2940.0,6.0,3.0,531,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434373_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1ST Ave NE,SEATTLE,WA,98115,NA,1110.0,4.0,1.5,21,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434518_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
20TH Ave NE # 1-305,SEATTLE,WA,98115,NA,968.0,2.0,1.0,60,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/244339024_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NE 86th St,Seattle,WA,98115,NA,1370.0,3.0,1.0,530,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434466_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
19th Ave NE,Seattle,WA,98115,NA,890.0,2.0,1.0,326,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163479394_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
